word,freq
김나미,79
사람,55
생각,41
평론가,37
중독,34
노래방,31
이문식,30
소재,28
연출,27
상처,27
몰입,26
연기력,24
캐릭터,24
이야기,23
연극,23
분위기,22
매력,21
도우미,20
작품,20
나주,19
하나,19
김보연,18
추천,18
한국,18
감독,18
가족,18
치유,17
아픔,16
간만,16
감동,15
마음,15
인상,15
시간,15
배소은,15
수작,15
사연,14
라면,13
기대,13
올해,12
대박,12
장르,11
재미,11
예산,10
인생,10
힐링,10
서로,10
기분,10
여배우,9
쓰레기,9
집중,9
마무리,9
가치,8
프로,8
평론,8
이해,8
여자,8
기도,8
개인,8
명작,8
미스테리,8
장면,8
나미,7
발견,7
포주,7
영화인,7
상영,7
무슨,7
우리,7
공간,7
세상,7
지하,7
시나리오,7
극장,7
나름,7
감정,7
자체,7
화중,7
기억,7
일본,7
가슴,6
연기자,6
낫다,6
반전,6
드라마,6
근래,6
요즘,6
의미,6
관객,6
평가,6
완성,6
진심,6
자극,6
아쉬움,6
로그인,6
현실,6
각자,6
상업,6
누구,6
의경,6
간다,6
