word,freq
긴장감,356
스릴,324
스릴러,195
공간,187
반전,159
몰입도,125
시간,114
연기,113
평점,111
몰입,109
사람,105
범인,103
전화,103
폰부스,94
예산,90
콜린,90
한정,89
긴장,74
장소,71
생각,70
박스,70
파렐,65
교훈,63
공중전화,62
주인공,61
소재,58
재미,53
목소리,52
연기력,51
명작,46
최고다,46
감독,45
별로,45
연출,44
전개,43
대박,42
부스,41
제작비,38
내용,35
피자,33
수작,33
콜린파렐,33
시나리오,33
개연,32
하나로,32
제한,32
감동,32
배달,31
작품,31
긴박,29
만점,29
강추,27
집중,26
슈마허,26
테러,25
추천,25
이해,25
배우,25
심리,25
킬링타임,25
인간,24
저격수,24
자신,23
나름,23
박진,23
키퍼,22
최강,21
장면,20
누구,20
장난,20
시작,19
타임,19
조엘,19
심리전,19
상황,18
서스펜스,18
아이디어,18
대사,17
바우어,17
서덜랜드,17
쏘우,17
기대,17
라이브,16
개인,16
배경,16
지금,16
기분,16
구성,16
자체,16
흥미진진,16
지루함,16
이정,15
관객,15
쓰레기,15
제대로,15
땀,15
이상,15
정의,14
스릴러물,14
인상,14
