word,freq
원작,217
최고,175
인생,171
현실,169
생각,140
크루즈,138
여운,138
반전,105
다시,90
페넬로페,90
톰크루즈,67
아이즈,65
명작,64
오픈,64
연기,59
감동,57
지금,56
사랑,56
선택,53
배우,53
바닐라,51
하나,50
매력,50
리메이크,48
이해,47
몽환,42
스카이,42
기회,40
작품,38
사람,37
음악,37
최고다,35
이영화,33
마음,33
소피아,31
추천,30
행복,29
가슴,29
재미,29
정도,29
뭔가,27
장면,26
우리,26
이제,26
꿈,25
기억,25
충격,25
단맛,24
멜로,24
환상,23
주인공,22
연출,21
자각몽,21
감독,20
무의식,19
교훈,19
시간,19
분위기,19
수작,19
이상,18
기분,18
몰입,17
여자,17
인상,17
전개,17
대사,17
혼란,17
하늘,17
무엇,17
꿈속,16
모습,16
자신,16
머리,16
연기력,15
악몽,15
소재,15
영상,15
제목,14
카메론,13
의미,13
데이빗,13
세상,13
삶,13
상상,13
얼굴,13
쓴맛,12
당신,12
개봉,12
계속,12
영화로,12
강추,12
몰입도,11
로맨스,11
대박,11
표현,11
개인,11
집중,11
스릴러,11
미모,10
자체,10
