word,freq
엄마,493
몰입,414
생각,394
최고,358
여자,332
가슴,291
마음,270
모성애,264
여배우,251
몰입도,249
현실,230
눈물,223
아이,213
사회,206
감동,206
여성,195
연출,192
시간,192
여운,186
스릴러,180
대박,148
공감,140
사람,139
장면,139
소름,136
긴장감,135
전개,133
기대,132
이해,130
느낌,126
정도,122
하나,117
재미,113
감독,105
한국,104
개연,103
반전,99
추천,99
주인공,90
인생,89
미씽,87
집중,87
문제,86
스릴,82
우리,76
감탄,75
감정,75
남자,74
별로,74
기도,72
아기,72
한국영,70
펑펑,68
모습,68
작품,67
시나리오,66
보기,66
주연,65
인상,64
화차,64
캐릭터,61
소재,60
다른,59
로코,58
상황,58
장난,56
표현,56
이상,55
워킹맘,53
애기,53
드라마,52
자체,52
다문화,51
알바,50
지선,49
열연,49
긴장,48
공블리,48
무엇,48
남편,48
감성,47
간만,47
매,46
예상,45
영화관,45
사랑,44
결혼,43
박수,43
입장,43
외국인,42
올해,42
재밋,42
가장,41
가정,41
대안,41
누가,40
구성,40
설정,39
얼마나,38
점,38
