word,freq
영상,593
색감,551
동화,509
느낌,352
최고,338
웨스,333
감독,297
앤더슨,297
배우,294
재미,291
장면,265
작품,243
연출,236
하나,229
화면,219
생각,206
매력,200
연기,190
사람,186
어른,162
기분,150
시간,144
구성,142
그냥,137
전개,136
추천,128
예술,121
호텔,116
동화책,113
유머,109
음악,104
정도,103
위트,103
배경,94
색채,92
분위기,85
기대,84
환상,83
이해,82
웃음,81
캐릭터,81
부다페스트,79
호불호,77
뭔가,72
인생,71
감동,69
감각,67
취향,67
그림,66
표현,65
대사,64
인상,63
구도,63
미장센,62
코믹,61
스타,60
가장,60
별로,60
그랜드,60
완전,59
기억,59
다른,58
여운,58
자체,56
마음,55
요소,54
코드,53
흥미진진,53
인물,52
제로,51
이영화,51
몰입,51
캐스팅,49
영화관,49
킹덤,48
부분,48
개인,48
사랑,47
성인,47
계속,46
집중,46
무엇,46
출연,46
기법,46
대칭,46
세계,45
문라이즈,45
미술,45
스타일,44
한장,43
랄프,43
액자,43
인즈,42
매우,42
향수,42
눈,41
나름,40
특유,39
간만,39
명작,39
