word,freq
사람,48
생각,34
일본,28
마녀사냥,21
현실,20
사회,19
사건,17
언론,14
진실,14
자신,14
미키,13
장면,13
원작,13
인터넷,12
우리,12
자기,12
연기,12
범인,12
연출,12
미디어,12
시로,10
살인,10
사실,10
시대,10
반전,10
작품,9
메세지,9
전개,9
교훈,9
인상,8
팩트,8
문제점,8
스릴러,8
기억,8
마오,8
표현,8
인간,8
감상,8
현대,7
세상,7
폐해,7
미나토,7
특유,7
백설공주,7
과정,6
병폐,6
조작,6
개인,6
문제,6
구성,6
공감,6
감독,6
풍자,6
이노우에,6
소설,6
주제,6
소재,6
시사,5
주인공,5
반성,5
몰입도,5
몰입,5
우리나라,5
여자,5
재미,5
수작,5
판단,5
둘리,4
대중,4
실제,4
담임,4
한국,4
쓰레기,4
친구,4
추리물,4
메시지,4
추리,4
배우,4
비판,4
여주,4
반영,4
관계,4
전달,4
아야노,4
매력,4
뉴스,4
취재,4
피해자,4
얼굴,4
모습,3
유지,3
시선,3
거짓,3
말,3
긴장감,3
의미,3
명작,3
장점,3
집중,3
눈물,3
