word,freq
연기,113
배우,74
김효진,58
생각,45
한국어,40
일본어,39
평론가,35
소재,35
내용,34
몰입도,32
몰입,31
연출,30
이해,25
사람,24
최고,24
시간,23
일본,23
기억,22
히데,22
토시,22
홍보,21
한국,21
재미,20
긴장감,19
감독,19
간만,19
대박,17
주인공,17
추천,17
반전,17
흥행,16
연기력,15
스릴러,15
집중,15
발음,15
기대,14
상영,13
명작,13
시나리오,13
수작,13
원작,13
전개,13
매력,11
기자,11
작품,11
강추,11
개봉,11
중반,11
갈수록,11
노력,10
별로,10
마상,10
흥미진진,10
시작,9
아쉬움,9
합작,9
평가,9
관객,9
소설,9
한국말,9
일본인,9
액션,8
스릴,8
김성수,8
인상,7
전체,7
개인,7
점수,7
이유,7
대안,7
남자배우,7
소름,7
완성,7
설명,7
연습,6
무명인,6
깜짝,6
남자,6
장면,6
미스테리,6
최근,6
지루함,6
퍼즐,6
짜임새,6
이상,6
전문가,6
의문,6
대사,6
한국인,6
구성,6
베스트,5
흡입,5
문제,5
흥미,5
분위기,5
설정,5
자체,5
열연,5
음악,5
이제,5
