word,freq
추리,594 
반전,460
연기,339
배우,240
추리소설,231
연출,200
최고,195
시간,195
추리물,186
느낌,180
긴장감,179
생각,175
몰입,152
추천,143
재미,141
기대,128
사람,119
간만,112
전개,109
범인,107
하나,99
겨울왕국,97
그냥,92
집중,86
정도,83
예상,83
크리스,82
상영,81
탐정,73
감독,71
흥미진진,70
장면,67
올해,67
몰입도,65
다니엘,65
기분,62
레이,60
캡틴,60
소설,60
대박,58
스릴러,57
작품,56
강추,54
마르타,53
장르,53
가족,53
꿀잼,51
정통,49
영화관,48
완전,48
유머,47
연기력,47
떡밥,46
별로,46
매력,45
고전,45
명작,45
수작,45
한편,44
미국,42
캐릭터,42
한번,41
예측,41
영상,41
할아버지,40
각본,40
이해,40
대사,40
긴장,39
미스터리,39
아웃,39
인생,39
여주,38
시나리오,38
마음,37
극장,37
회수,37
에반스,35
분위기,35
주인공,35
갈수록,34
사건,34
메이드,33
후회,33
존잼,33
시리즈,32
이름,31
도넛,31
완성,31
짜임새,31
살인,30
클래식,30
라이언,30
크리스에반스,29
복선,29
진행,29
현대차,28
풍자,28
등장인물,28
백두산,28
