word,freq
알파,473
치노,471
아누,361
생각,191
리브,177
연출,162
별로,150
순간,149
발연기,149
졸음,147
구림,147
대부도,147
연기,112
인간,78
악마,73
최고,46
배우,41
허영,38
연기력,26
파치노,25
명작,23
반전,23
사람,23
역시,20
작품,20
샤를,20
리즈,20
리브스,20
테론,19
교훈,18
대사,18
허영은,16
유혹,16
소름,15
욕망,15
이해,15
장면,15
존재,14
표현,14
인생,13
우리,13
지금,13
판타지,12
카리스마,12
매력,12
변호사,12
사탄,12
메시지,12
이영화,11
정도,11
수작,11
인상,10
기호품,10
현실,10
탐욕,10
시나리오,10
최고다,10
스릴러,10
선택,10
몰입,10
모습,9
자체,9
걸작,9
추천,9
구성,8
자유의지,8
종교,8
이상,8
기분,8
세상,8
재미,7
법정,7
무엇,7
데블,7
시간,7
조금,7
대박,6
와우,6
본성,6
주제,6
충격,6
자신,6
알,6
얼마나,6
영상,6
기독교,6
욕심,6
감독,6
시작,6
흥미진진,6
명연기,6
각본,6
요소,6
강추,6
악의,5
기대,5
한국어,5
기호식품,5
라면,5
악,5
